,Transaction_date,Amount,Tax,Machine_ID,Transaction_Type
0,08-03-18 15:36:55,243.21,0.69,27833222,Transfer
1,15-09-20 21:02:51,200.07,,60044225,Transfer
2,,41.82,,97733707,
3,05-08-20 17:53:15,149.41,,89705626,Transfer
4,23-07-19 23:47:31,193.49,0.0,35040650,Purchase
5,25-11-18 01:15:09,99.59,0.41,62365366,Purchase
6,02-12-20 17:50:36,,0.55,62636204,Purchase
7,03-11-19 02:46:13,157.6,0.13,40299518,
8,27-05-19 13:08:57,150.3,0.39,26611843,Purchase
9,02-04-18 15:18:22,137.78,0.0,70193115,Transfer
10,12-10-18 21:57:41,,0.23,17121885,Transfer
11,29-12-19 13:53:37,234.21,0.0,53846742,
12,,82.45,0.0,94750240,Withdrawal
13,22-06-19 16:37:57,221.98,,45545718,Purchase
14,,166.0,,11614375,Transfer
15,13-01-20 04:50:29,181.16,0.55,66428324,Purchase
16,24-07-20 08:42:56,70.44,0.0,33000866,Purchase
17,19-06-20 22:19:49,159.46,0.0,87759731,Transfer
18,08-02-20 01:36:41,,,45591646,Transfer
19,,74.41,,39037024,Purchase
20,02-10-18 07:05:52,11.56,0.0,92452777,
21,13-09-19 19:31:39,27.96,0.0,18685039,Purchase
22,20-01-20 08:44:41,168.62,0.0,18685039,Purchase
23,06-10-19 19:59:16,316.95,0.0,28141570,Withdrawal
24,11-07-20 15:52:31,228.66,0.0,34090806,Withdrawal
25,20-08-20 02:21:58,267.08,1.29,31185142,Purchase
26,27-10-19 18:16:27,156.94,0.48,67705104,Withdrawal
27,17-11-18 08:09:59,,0.0,37803482,Purchase
28,25-04-20 08:40:44,131.01,0.0,95027423,Purchase
29,17-03-18 01:09:21,192.92,0.13,94476694,Withdrawal
30,14-10-20 10:57:54,131.29,0.0,10038856,Transfer
31,28-05-18 19:25:24,111.55,0.17,80017644,Transfer
32,15-06-18 05:26:59,159.29,0.29,38530258,Transfer
33,27-02-20 20:39:08,116.67,0.0,98944256,Transfer
34,06-02-20 21:53:34,,0.38,66433906,Transfer
35,,163.65,0.45,88780031,Withdrawal
36,17-07-18 16:04:34,,0.0,27851295,Purchase
37,07-12-18 06:57:05,126.37,0.04,31777720,Transfer
38,16-12-19 15:46:24,237.95,0.7,22695034,Purchase
39,28-04-20 16:13:26,98.76,0.42,67878566,Withdrawal
40,18-05-19 10:00:05,196.22,0.15,48088230,Withdrawal
41,21-10-18 22:28:24,125.44,0.14,91572504,Purchase
42,04-12-20 06:29:51,84.24,0.0,22704224,Withdrawal
43,02-09-18 09:43:19,115.75,0.02,93121901,Withdrawal
44,22-07-20 11:00:58,93.68,,31777720,Withdrawal
45,,135.11,0.55,28755126,
46,23-12-18 06:24:40,126.26,0.0,37803482,Transfer
47,10-09-20 12:39:16,171.85,0.0,83143190,Withdrawal
48,03-11-19 15:49:38,189.56,0.81,15211547,Withdrawal
49,04-04-19 00:10:56,139.68,0.1,61603085,Withdrawal
50,31-03-18 12:04:30,148.19,,38141143,Withdrawal
51,,170.24,0.32,65985263,Purchase
52,13-06-18 09:31:50,112.21,,31185142,Purchase
53,06-07-20 14:44:16,199.57,0.0,71270966,Withdrawal
54,21-11-18 14:13:15,208.96,0.81,93371164,Transfer
55,,164.25,0.08,95006568,Withdrawal
56,11-12-20 09:53:31,317.63,0.26,86466161,Transfer
57,01-12-20 17:34:14,214.22,0.0,55221298,Withdrawal
58,20-10-20 02:17:07,142.14,0.67,43281346,Purchase
59,07-12-18 17:49:04,,0.27,75710318,Withdrawal
60,03-08-20 14:36:16,133.75,0.28,48088230,Transfer
61,06-10-18 15:18:27,114.88,0.0,34416970,Withdrawal
62,17-12-19 19:36:44,,,30066650,Transfer
63,05-03-20 17:50:11,101.15,0.31,18991941,Purchase
64,06-12-18 20:20:32,144.32,0.13,46256964,Withdrawal
65,,,0.0,83143190,Purchase
66,30-04-20 01:17:09,223.23,0.0,88727088,Withdrawal
67,,50.7,,93081845,Transfer
68,13-05-18 01:50:28,124.63,0.4,64138832,Purchase
69,18-12-19 03:22:36,,0.58,86585067,Purchase
70,08-11-18 03:57:34,172.35,0.0,38379290,Transfer
71,,182.26,0.44,66313716,Transfer
72,13-10-18 16:41:54,134.89,,71292904,
73,12-06-20 18:14:41,219.24,0.0,32042597,
74,04-07-20 12:29:47,172.03,0.0,66925143,Purchase
75,15-06-19 16:41:03,322.74,,50616163,Purchase
76,16-05-20 11:57:20,44.42,0.07,25122042,
77,,193.44,,16729833,Purchase
78,11-11-18 08:38:28,76.84,0.0,22643233,Transfer
